id,name,latitude,longitude,address,hash_tags,unique_page
41,L'Ambroisie et L'Espace Canal,45.475196,-73.580313,"4020 Rue St-Ambroise, porte #140","French,International,Breakfast,Bistro,Tartare,Market",https://www.restomontreal.ca/resto/lambroisie-et-lespace-canal-saint-henri/1568/en/
42,Le Mista,45.569963,-73.199649,955 Rue Laurier,"Italian,Mediterranean,Pasta,Healthy,Vegetarian",https://www.restomontreal.ca/resto/le-mista-beloeil/2359/en/
43,Sésame,45.556845,-73.722139,1955 Rue Claude-Gagné,"Asian,Fusion,Chinese,Japanese,Thai,Vegetarian",https://www.restomontreal.ca/resto/sesame-laval-des-rapides/15682/en/
44,Le Shack Du Pêcheur,45.592131,-73.430894,1052 Rue Lionel-Daunais,"Seafood/Fish,Fish & Chips,Mediterranean,Tapas,Tartare,Mussels",https://www.restomontreal.ca/resto/le-shack-du-pecheur-boucherville/12698/en/
45,Bar Ganadara,45.492511,-73.580293,1900 Rue Ste-Catherine O,"Korean,Fusion,Asian,Fried Chicken",https://www.restomontreal.ca/resto/bar-ganadara-downtown/14240/en/
46,Les Cavistes - Bistro Bar à vin Boutique,45.545777,-73.666213,196 Rue Fleury O,"Bistro,French,Tartare",https://www.restomontreal.ca/resto/les-cavistes-bistro-bar-a-vin-boutique-ahuntsic-cartierville/5978/en/
47,Pub BreWskey,45.509381,-73.551365,380 Rue St-Paul E,"Pub Food,Comfort Food,Burgers,Poutine,Fish & Chips,Salads",https://www.restomontreal.ca/resto/pub-brewskey-old-montreal/9521/en/
48,Yen Cuisine Japonaise,45.497494,-73.580165,2157 Rue Mackay,"Japanese,Sushi,Soups,Salads,Poke Bowl",https://www.restomontreal.ca/resto/yen-cuisine-japonaise-downtown/12582/en/
49,Akwaba,45.569396,-73.583776,4541 Rue Bélanger E,"African,Greek,Fusion,Vegetarian",https://www.restomontreal.ca/resto/akwaba-rosemont-la-petite-patrie/4096/en/
50,Allô mon Coco,45.494584,-73.580233,1684 Boulevard de Maisonneuve O,"Breakfast,Salads,Burgers,Grill,Crêpes,Sandwiches",https://www.restomontreal.ca/resto/allo-mon-coco-downtown/10389/en/
51,Bagatelle Bistro,45.552925,-73.539788,4323 Rue Ontario E,"Bistro,Market,French,Burgers,Tartare",https://www.restomontreal.ca/resto/bagatelle-bistro-hochelaga-maisonneuve/4485/en/
52,Lucille's Laval,45.569491,-73.757014,2565 Boulevard Daniel-Johnson,"Seafood/Fish,Grill,Fish & Chips,Tartare,Burgers,Steakhouse",https://www.restomontreal.ca/resto/lucilles-laval-chomedey/13284/en/
53,Guacamole Y Tequila,45.265298,-72.150357,112 Rue Principale,"Mexican,Latin American,Gluten-free Options,Vegetarian,Vegan Options",https://www.restomontreal.ca/resto/guacamole-y-tequila-magog/3420/en/
54,Le Virunga,45.524093,-73.576234,851 Rue Rachel E,"African,Healthy,Grill,Exotic,Gluten-free Options",https://www.restomontreal.ca/resto/virunga-le-plateau/10928/en/
55,Sésame,45.412541,-74.030485,35 Boulevard de la Cité-des-Jeunes,"Asian,Fusion,Chinese,Japanese,Thai,Vegetarian",https://www.restomontreal.ca/resto/sesame-vaudreuil-dorion/17523/en/
56,Panuozzo,45.515583,-73.576601,3820 Boulevard St-Laurent,"Italian,Pizza,Sandwiches,Pasta,Tunisian,Comfort Food",https://www.restomontreal.ca/resto/panuozzo-le-plateau/14632/en/
57,Bravi Restaurant,45.561444,-73.450447,2794 Boulevard Jacques-Cartier E,"Italian,Pizza,Bistro",https://www.restomontreal.ca/resto/bravi-restaurant-longueuil/1890/en/
58,Le Passé Composé,45.498832,-73.558003,701 Rue William,"Breakfast,French,Bistro,Grilled Cheese,Sandwiches,Café",https://www.restomontreal.ca/resto/le-passe-compose-old-montreal/2988/en/
59,Les Enfants Terribles,45.501467,-73.569725,3 Place Ville Marie,"Comfort Food,Market,French,Bistro,Tartare,Grill",https://www.restomontreal.ca/resto/les-enfants-terribles-downtown/10605/en/
60,La Banquise,45.525312,-73.574672,994 Rue Rachel E.,"Casse-Croute (Snack Bar),Poutine,Burgers,Regional,Breakfast",https://www.restomontreal.ca/resto/la-banquise-le-plateau/2499/en/
61,BEVO Bar + Pizzeria,45.507028,-73.553268,410 Rue Saint-Vincent,"Pizza,Italian,Pasta",https://www.restomontreal.ca/resto/bevo-bar-pizzeria-old-montreal/5174/en/
62,Pot Masson,45.549865,-73.574129,3141 Rue Masson,"Café,Tapas,Tartare,Bistro,Burgers,Comfort Food",https://www.restomontreal.ca/resto/pot-masson-rosemont-la-petite-patrie/9408/en/
63,Taiyo Sushi,45.523933,-73.469236,2480 Chemin de Chambly,"Sushi,Fusion,Japanese,Grill,Asian",https://www.restomontreal.ca/resto/taiyo-sushi-longueuil/11967/en/
64,Vua Sandwichs,45.568766,-73.605449,3733 Rue Jarry E,"Sandwiches,Healthy,Sushi,Vietnamese,Fusion,Asian",https://www.restomontreal.ca/resto/vua-sandwichs-villeray-saint-michel/13237/en/
65,Sukho Thai Centropolis - private rooms - karaoke,45.562281,-73.745066,145 Promenade du Centropolis,"Thai,Asian,Vegan Options,Gluten-free Options",https://www.restomontreal.ca/resto/sukho-thai-centropolis-private-rooms-karaoke-chomedey/1883/en/
66,Piri Piri,45.496988,-73.624155,5480 Chemin de la Côte-des-Neiges,"Portuguese,Rotisserie,Grill,Poutine",https://www.restomontreal.ca/resto/piri-piri-cote-des-neiges-cote-des-neiges/11758/en/
67,Restaurant Coco Mania,45.677115,-73.886866,1083 Boulevard Curé-Labelle,"Breakfast,Crêpes,Pizza,Sandwiches,Greek,Mediterranean",https://www.restomontreal.ca/resto/restaurant-coco-mania-blainville/10412/en/
68,Le Vice-Caché Bistro Urbain,45.827143,-73.424738,351 Boulevard L'Ange-Gardien,"Bistro,Tapas,Tartare,Urban,Contemporary/Modern,Regional",https://www.restomontreal.ca/resto/le-vice-cache-bistro-urbain-lassomption/12882/en/
69,Lloyd,45.497526,-73.567353,1050 Rue de la Gauchetiere O,"Mediterranean,Market,Seafood/Fish,Tartare,Bistro,Fusion",https://www.restomontreal.ca/resto/lloyd-downtown/14351/en/
70,Piri Piri,45.577559,-73.545666,6060 Rue Sherbrooke E,"Portuguese,Rotisserie,Grill,Poutine",https://www.restomontreal.ca/resto/piri-piri-rosemont-la-petite-patrie/14901/en/
71,Cabane à Sucre Constantin,45.580373,-73.975864,1054 Boulevard Arthur-Sauvé,"Sugar Shack,Regional,Desserts & Sweets",https://www.restomontreal.ca/resto/cabane-a-sucre-constantin-saint-eustache/10561/en/
72,Yul Restaurant-Bar,45.493062,-73.699907,7000 Place Robert Joncas,"International,Italian,Fusion,Comfort Food,Grill,Seafood/Fish",https://www.restomontreal.ca/resto/yul-restaurant-bar-ville-saint-laurent/17224/en/
73,Allô mon Coco,45.498717,-73.62715,5685 Chemin de la Côte-des-Neiges,"Breakfast,Salads,Burgers,Grill,Crêpes,Sandwiches",https://www.restomontreal.ca/resto/allo-mon-coco-cote-des-neiges/8446/en/
74,La Grange bar à vin,45.309162,-73.251768,6 Rue Foch,"Grill,Tartare,Steakhouse,Seafood/Fish,Pasta,Mussels",https://www.restomontreal.ca/resto/la-grange-bar-a-vin-st-jean-sur-richelieu/14866/en/
75,Giorgio,45.568991,-73.448536,20A Boulevard de Mortagne,"Italian,Pasta,Pizza",https://www.restomontreal.ca/resto/giorgio-boucherville/3466/en/
76,Allons Burger Let's go,45.54593,-73.752961,1205 Boulevard Curé-Labelle,"Burgers,Poutine,Comfort Food,Salads,Halal,Vegetarian",https://www.restomontreal.ca/resto/allons-burger-lets-go-chomedey/12696/en/
77,SHAKER Cuisine & Mixologie,45.776913,-74.002596,337 Rue St-Georges,"Burgers,Tartare,Comfort Food,Poke Bowl,Poutine,Salads",https://www.restomontreal.ca/resto/shaker-cuisine-mixologie-saint-jerme/14289/en/
78,Poke Ici,45.478729,-73.568728,2544 Rue du Centre,"Japanese,Sushi,Asian,Poke Bowl,Vegetarian,Vegan Options",https://www.restomontreal.ca/resto/poke-ici-pointe-st-charles/16834/en/
79,Bar Nacarat,45.500492,-73.567301,900 Boulevard René-Lévesque O,"Tartare,Seafood/Fish,Grill,Charcuterie,Contemporary/Modern,Pub Food",https://www.restomontreal.ca/resto/bar-nacarat-downtown/11961/en/
80,Moghel Tandoori,45.501127,-73.510075,538 Rue Victoria,"Indian,Halal",https://www.restomontreal.ca/resto/moghel-tandoori-saint-lambert/8754/en/
81,Marathon Souvlaki Express,45.540397,-73.749262,3940 Boulevard Notre-Dame,"Greek,Grill,Mediterranean,Salads,Gluten-free Options",https://www.restomontreal.ca/resto/marathon-souvlaki-express-chomedey/10451/en/
82,Le Basilic Vert,45.522446,-73.786076,15 Boulevard Samson,"Thai,Vietnamese,Asian",https://www.restomontreal.ca/resto/le-basilic-vert-sainte-dorothee/3145/en/
83,Resto Bar Brasse-Rires,45.599504,-73.725078,1790 Boulevard des Laurentides,"Pub Food,Poutine,Pasta,Burgers",https://www.restomontreal.ca/resto/resto-bar-brasse-rires-vimont/15047/en/
84,Portovino Ristorante,45.498069,-73.658054,7977 Boulevard Decarie,"Italian,Seafood/Fish,Pizza,French,Grill,Tartare",https://www.restomontreal.ca/resto/portovino-ristorante-cote-des-neiges/17638/en/
85,Mile Public House,45.446101,-73.437918,9190 Boulevard Leduc,"Pub Food,Burgers,Comfort Food,Fish & Chips,Poutine,Salads",https://www.restomontreal.ca/resto/mile-public-house-brossard/6115/en/
86,Le Shack Du Pêcheur,45.404346,-73.498521,1119 Boulevard Taschereau,"Seafood/Fish,Fish & Chips,Mediterranean,Tapas,Tartare,Mussels",https://www.restomontreal.ca/resto/le-shack-du-pecheur-la-prairie/10806/en/
87,D'Artagnan Crêpes et Fondues,45.710244,-73.651192,1421 Chemin Gascon,"Crêpes,Fondue,Gluten-free Options",https://www.restomontreal.ca/resto/dartagnan-crepes-et-fondues-terrebonne-lachenaie/2547/en/
88,Bistro Le Cerf-Volant,45.598891,-73.521118,8480 Rue Hochelaga,"Bistro,Market,Creative,Vegetarian,French,Tartare",https://www.restomontreal.ca/resto/bistro-le-cerf-volant-tetreaultville-mercier-est/17913/en/
89,Piatti Pronti,45.567276,-73.735952,1794 Boulevard Le Corbusier,"Italian,Pasta",https://www.restomontreal.ca/resto/piatti-pronti-chomedey/3747/en/
90,La Paella,45.519526,-73.554881,1326 Rue Ste-Catherine,"Spanish,Tapas,Mediterranean,Seafood/Fish,Mussels",https://www.restomontreal.ca/resto/la-paella-village-centre-sud/17967/en/
91,Zykaa,45.60238,-73.519112,8792 Rue Hochelaga,"Indian,Pakistani",https://www.restomontreal.ca/resto/zykaa-hochelaga-maisonneuve/10537/en/
