id,name,latitude,longitude,address,hash_tags,unique_page
56,Manga Bistro,45.493209,-73.579718,1836A Rue Ste-Catherine O,"Sushi,Japanese,Fusion,Asian",https://www.restomontreal.ca/resto/manga-bistro-downtown/17295/en/
57,Allô mon Coco,45.494143,-73.656004,5405 Rue des Jockeys,"Breakfast,Salads,Burgers,Grill,Crêpes,Sandwiches",https://www.restomontreal.ca/resto/allo-mon-coco-cote-des-neiges/14764/en/
58,Brasserie 701,45.50539,-73.557464,701 Côte de la Place d'Armes,"Creative,Eclectic,Charcuterie,International,Breakfast,Fusion",https://www.restomontreal.ca/resto/brasserie-701-old-montreal/2535/en/
59,Snatch Restaurant,45.521534,-73.589089,4675 Boulevard St-Laurent,"Comfort Food,Burgers,Halal,Poutine,Vegetarian,French",https://www.restomontreal.ca/resto/snatch-restaurant-le-plateau/14069/en/
60,Ocakbasi Mardin Palace,45.55822,-73.743877,3010 Boulevard St-Martin O,"Turkish,Mediterranean,Middle Eastern,Vegetarian,Grill,Seafood/Fish",https://www.restomontreal.ca/resto/ocakbasi-mardin-palace-chomedey/13703/en/
61,Siam,45.496602,-73.572865,1325 Boulevard René-Lévesque O,"Thai,Fusion,Asian,Vegetarian,Vegan Options,Gluten-free Options",https://www.restomontreal.ca/resto/siam-downtown/12934/en/
62,La Belle et La Barbe - Bistro Urbain,45.495238,-73.41007,5961 Boulevard Cousineau,"Bistro,Tartare,Seafood/Fish,Tapas,Grill,Pasta",https://www.restomontreal.ca/resto/la-belle-et-la-barbe-bistro-urbain-saint-hubert/10945/en/
63,Trattoria Lanni,45.40656,-74.03478,590 Rue St-Charles,"Italian,Pizza,Gluten-free Options",https://www.restomontreal.ca/resto/trattoria-lanni-vaudreuil-dorion/5696/en/
64,L'Académie,45.597131,-73.562809,7275 Boulevard des Galeries D'Anjou,"Italian,French,Bistro,Tartare,Mussels",https://www.restomontreal.ca/resto/l-academie-anjou-st-leonard/1686/en/
65,L'Hamburger,45.538508,-73.605931,933 Rue St-Zotique E,"Burgers,American,Poutine,Comfort Food,Canadian,Juice Bar & Smoothies",https://www.restomontreal.ca/resto/lhamburger-rosemont-la-petite-patrie/13928/en/
66,Paparazzi's,45.594538,-73.78588,338 Boulevard Curé-Labelle,"Italian,Pizza,Pasta",https://www.restomontreal.ca/resto/paparazzi-s-sainte-rose/12384/en/
67,Stanley,45.49788,-73.571404,1201 Boulevard René-Lévesque O,"Market,International,Seafood/Fish,Tartare,Breakfast,Burgers",https://www.restomontreal.ca/resto/stanley-downtown/16974/en/
