id,rating,text,date,average_rating,amount_of_rating
25,2.0,"Was expecting a lot from this place, sadly the best part of the dinner was the little bread they gave us at the start... My steak was overcooked (really disappointing from a steak house). Service was slow, never came to see if everything was ok or not. I would've understand if the place was full but we were only 2 couple for more than half of our stay.View more","Feb 15, 2025",,212
25,5.0,Wow la bouffe est génial & il nous ont même trouvé une place sans réservation un samedi soir.View more,"Feb 9, 2025",,212
25,5.0,Very nice & comfortable. Great service & excellent food. I will be backView more,"Feb 8, 2025",,212
25,5.0,Super ambiance. Belle rénovation. Meilleure côte-levée fumée. Très agréable. Nous allons revenir.View more,"Feb 8, 2025",,212
25,2.0,"Cold food, terrible service for a 300$ bill.
Viande froide 25 minute avant d'avoir du service & un drink…la serveuse avais pas l'air d'être intéressée a travailler ce soir la…
Puis tout d'un coup on s'est fais dire de sortir au plus vite..

Experience ruiner surtout pour un restaurant de ce type …
Vraiment decuView more","Feb 6, 2025",,212
26,5.0,Top tieView more,"Apr 2, 2025",,106
26,5.0,"WoW excellent service frite & le chez burger était excellent 10 sur 10
Je recommande 💯💯💯View more","Mar 12, 2025",,106
26,2.0,It's ok. Find it priceyView more,"Mar 9, 2025",,106
26,5.0,"Quick & friendly service. Good spot for smash burgers - meat was cooked fresh, crispy, & flavourful. Poutine portion was huge - good cheese & sauce, & fries were crispy & perfectly salted. Several high stools inside to dine in, otherwise there are picnic tables outside for warmer days.View more","Mar 8, 2025",,106
26,5.0,Great food & awesome staff - highly recommendedView more,"Feb 25, 2025",,106
26,5.0,These guys make the best burgers around. These are my first smash burgers & they are absolutely yummy. You will not regret it.View more,"Jan 31, 2025",,106
26,5.0,"Best value you will find for good burgers. Very no frills, & they do smash burgers the right way. Nice & thin with lots of crispy edges. This is what McDonald's WISHES it was. 10/10 highly recommendView more","Jan 22, 2025",,106
26,4.0,I ordered via Ubereats. The cheeseburgers are yummy. The french fries is average. It was a bit over cooked. The milkshakes are average too. I will give it 7/10. You can still improve. I will still order.View more,"Jan 19, 2025",,106
26,5.0,Awesome food & the young man (4:30 pm January 2nd Thursday) was extremely efficient & thoughtful. Everything was perfectView more,"Jan 2, 2025",,106
26,5.0,"The service was really fast & the person there took their time & guided me through the menu. It's not a real sit down restaurant, the vibe is more for pick up but the smash burger was good! I would definitely pop in for quick burger.View more","Dec 12, 2024",,106
26,5.0,Ohh my good ok that's the best hamburger I have ever had. Great fries also.View more,"Nov 17, 2024",,106
26,5.0,J'achète souvent là & Je suis vraiment contente que vous avez ouvert ici à l'ouest . C'est nice de savoir qu'il y a un endroit où l'on peut acheter un bon burger avec une vrai viande . Prix abordable Très bon serviceView more,"Oct 25, 2024",,106
26,4.0,2 cheese burger 1 fries 27$ the burger is smallView more,"Oct 12, 2024",,106
26,4.0,"burger is good. its not mdmh, which is unfortunate, but still good an okay alternative to mdmh since mdmh is so incredibly far from the west islandView more","Oct 8, 2024",,106
26,4.0,"Tried this place with a couple of buddies. Service was friendly & efficient. Pricing was fair at just below $9 for a double cheeseburger. The food was delicious but I found that the patties were a bit too smashed. This tended to dry out the meat. The patties were literally smashed till they were just over 1/8"" thick. Too thin in my opinion. They served them on Martin's potato buns which is a definite win. Won't be hard to get that 5th star. Would recommend.View more","Sep 27, 2024",,106
26,4.0,"The best & only smash burgers you will find in the West Island. Just a little disappointing that they don't offer bacon, otherwise it's delicious.View more","Sep 10, 2024",,106
26,4.0,Burgers where great they had no tomatoes fries were just regular the milkshake was very good overall I will go back keep up good workView more,"Aug 31, 2024",,106
26,5.0,"WOW !!!! crazy delicious , Hamburger was amazing !!!! . Staff was very friendly ...... Best burger in townView more","Aug 1, 2024",,106
26,5.0,"Great hamburgers, keep up the good workView more","Jul 24, 2024",,106
26,5.0,"Great restaurant! Having a smash burger was definitely a nice luxury! A pretty unqiue, but not completely unfamiliar type of burger. The fries were also perfect, to my preferences at least. Overall, great food & nice service. However, don'r expect to dine in the restaurant. Unfortunately, it's somewhat small &, if you want a table, you'll have to eat outdoors. Come here if you want a different kind of burger & have some good food with the family!View more","Jul 17, 2024",,106
27,4.0,Il m'ont volé ma pelure d'orangeView more,"Apr 5, 2025",,726
27,5.0,Bouffe & service incroyablement bons !!!View more,"Apr 5, 2025",,726
27,2.0,"We had the 30 piece platter for 75$ but it was very disappointing, the food is not the same as it was before. The chef's choice had  peppers & asparagus on every sushi & it was bland. Service was efficient but a bit long. It tasted like supermarket sushi. 180$ for a diner for two for bland food. Not coming back. The atmosphere was cool thoughView more","Apr 4, 2025",,726
27,5.0,"Une expérience extraordinaire
Les sushis  d'une qualités exceptionnelles 9View more","Mar 30, 2025",,726
27,5.0,"Toujours une nourriture de qualité , de goûts & un excellent service tout au long du repas. On va y retourner c'est certain!!!View more","Mar 26, 2025",,726
27,5.0,Toujours tres excellentView more,"Mar 23, 2025",,726
27,5.0,C est mon resto favorisView more,"Mar 22, 2025",,726
27,5.0,Tres bonne place de soushi & je suis tres difficille sur la qualité & le gout en restaurant le riz est tres tendre & pas trop dure les sauce son bonne & le saumon & poisson & crab tres frais tres bonne place je recommande.....pour se qui est du tofu dans les genéral tahoe végétarien vous devrier choisir un tofu extra ferme car celui que vous avez présentement est trop moue & donne l'impression de manger une guimauve frieView more,"Mar 12, 2025",,726
27,5.0,Toujours aussi bon & le service impeccable 👌View more,"Mar 9, 2025",,726
27,5.0,"Love Satori. Never disappointed.
Will be abckView more","Mar 5, 2025",,726
27,5.0,"Plats  délicieux & service impeccable.
Note parfaite pour nous.
On reviendra bientôt...View more","Mar 4, 2025",,726
